Geneid	A1_S61_early_BHI_1	A2_S62_early_BHI_2	A3_S63_early_BHI_3	A7_S64_late_BHI_1	A8_S65_late_BHI_2	A9_S66_late_BHI_3	B1_S67_early_butyrate_1	B2_S68_early_Butyrate_2	B3_S69_early_Butyrate_3	B7_S70_late_Butyrate_1	B8_S71_late_Butyrate_2	B9_S72_late_Butyrate_3
cds-CAJ70419.1	4543	4896	6496	4553	7103	2002	3733	5670	5272	4150	8276	6436
cds-CAJ70420.1	188	204	310	737	744	1424	501	861	916	855	1901	1473
cds-CAJ70421.1	2259	2005	2311	2118	2425	356	1194	1485	1353	1749	2279	1252
cds-CAJ70422.1	14957	12778	17299	12014	10552	1423	8870	11756	12220	18692	16745	6738
cds-CAJ70423.1	215	202	240	273	253	119	131	385	505	480	692	513
cds-CAJ70424.2	198	124	215	289	257	41	217	276	320	335	445	126
cds-CAJ70425.1	1858	1488	1768	2278	2019	1694	2833	2864	2887	12210	5551	7583
cds-CAJ70426.1	20	16	8	10	12	9	48	243	664	10024	1838	2768
cds-CAJ70427.1	1946	2114	2427	1473	1405	232	1135	1228	980	1139	1286	848
cds-CAJ70428.1	749	599	534	291	297	19	304	251	117	135	138	91
cds-CAJ70429.1	9215	7644	7126	2660	2282	204	2898	1928	893	1188	584	272
cds-CAJ70430.1	7293	6323	5201	2270	1458	338	2891	3117	1385	2186	1264	732
cds-CAJ70431.1	5272	4194	2975	1267	932	56	1689	1050	393	676	326	200
cds-CAJ70432.1	3360	2329	2231	935	820	70	974	661	418	553	386	160
cds-CAJ70433.1	3140	2662	2124	956	658	178	1253	1226	634	1037	706	353
cds-CAJ70434.1	2357	1810	1501	654	532	29	775	462	203	339	180	125
cds-CAJ70435.1	19	33	11	11	12	13	31	15	8	25	28	17
cds-CAJ70436.1	51	36	26	19	30	2	30	35	26	65	57	56
cds-CAJ70437.1	20	21	22	27	14	0	21	17	18	19	34	11
cds-CAJ70438.1	16	29	27	18	26	1	31	26	21	39	28	26
cds-CAJ70439.1	28	20	15	17	20	2	24	16	16	28	48	21
cds-CAJ70440.1	16	29	23	26	21	4	18	21	32	36	41	27
cds-CAJ70441.1	1	0	2	2	1	2	1	10	5	8	12	10
cds-CAJ70442.1	11	16	8	11	6	3	8	9	12	5	22	8
cds-CAJ70443.1	2936	3533	5317	2571	3960	644	2909	4162	3570	4061	5490	1967
cds-CAJ70444.1	6088	7242	11198	4983	8182	1116	5746	8479	7027	7726	9634	4343
cds-CAJ70445.1	28	25	37	21	19	2	37	60	102	1485	397	498
cds-CAJ70446.1	6	0	4	0	0	0	16	37	60	1197	228	418
cds-CAJ70447.1	14265	10154	10861	11176	6613	2631	9642	10635	9725	9324	13978	9071
cds-CAJ70448.1	17006	14908	18683	15818	10665	4122	14833	9446	6432	8073	9717	6489
cds-CAJ70449.1	491	430	631	319	436	152	264	856	712	646	802	539
cds-CAJ70450.1	110	94	154	87	108	12	43	99	88	77	111	113
cds-CAJ70451.1	340	341	431	302	342	60	256	410	307	264	517	452
cds-CAJ70452.1	1499	1357	2013	1649	1289	345	1059	1062	829	993	1528	1008
cds-CAJ70453.1	492	517	551	745	425	184	474	1115	1239	1459	2073	1461
cds-CAJ70454.1	293	236	235	262	186	54	150	370	366	363	538	325
