Geneid	A1_S61_early_BHI_1	A2_S62_early_BHI_2	A3_S63_early_BHI_3	A7_S64_late_BHI_1	A8_S65_late_BHI_2	A9_S66_late_BHI_3	B1_S67_early_butyrate_1	B2_S68_early_Butyrate_2	B3_S69_early_Butyrate_3	B7_S70_late_Butyrate_1	B8_S71_late_Butyrate_2	B9_S72_late_Butyrate_3
cds-CAJ66815.1	14026	10429	14173	9581	8882	854	8287	10421	8384	13259	10676	5195
cds-CAJ66816.2	2214	1895	2020	1925	1366	150	1500	5432	4241	4828	5191	2073
cds-CAJ66817.1	90	66	23	42	69	6	16	185	199	147	286	105
cds-CAJ66818.1	781	655	430	823	481	48	461	3030	3182	2828	3337	1674
cds-CAJ66819.1	8441	8291	8118	5973	7696	769	5753	6409	6163	7369	6197	2480
cds-CAJ66820.1	12868	12685	13589	9737	11684	1572	8797	11879	11329	13740	11997	5424
cds-CAJ66821.1	16	13	7	11	11	6	12	72	60	63	98	102
cds-CAJ66822.1	24	16	5	29	28	10	14	132	99	71	197	117
cds-CAJ66823.1	19	32	47	30	31	13	33	839	617	735	1129	592
cds-CAJ66824.1	217	169	158	172	196	85	140	415	330	390	543	279
cds-CAJ66825.1	520	490	555	436	670	358	372	1044	904	1172	1412	911
cds-CAJ66826.1	1270	898	1124	912	702	335	653	1189	1136	1242	2375	1590
cds-CAJ66827.1	650	622	759	685	460	209	464	1063	1014	1064	2077	1766
cds-CAJ66828.1	4193	4227	5571	3326	3853	5129	3094	4167	4981	5285	11137	5201
cds-CAJ66829.1	1359	1129	920	1500	878	236	866	1576	2222	2048	2553	2274
cds-CAJ66830.1	5569	4193	4257	3852	2476	446	2670	3223	4162	5386	4735	2407
cds-CAJ66831.1	1497	1579	1832	1333	1341	269	943	1025	1005	1804	1459	972
cds-CAJ66832.1	3147	3691	5171	2997	4032	750	2121	2767	2146	3163	2988	2221
cds-CCA62784.1	7	11	1	9	2	3	6	59	62	54	100	104
cds-CAJ66833.1	1881	1272	1275	1368	794	382	1213	2886	2288	2764	3451	1992
cds-CAJ66834.1	689	538	564	365	272	12	219	342	410	417	313	128
cds-CAJ66835.1	3617	3357	3469	2282	3626	260	2997	3808	2495	2273	1910	968
cds-CAJ66836.2	1103	1007	1518	4575	4522	25465	4792	9592	11376	14989	33985	31269
cds-CAJ66837.1	12	11	21	19	12	21	7	162	101	121	181	266
cds-CAJ66838.1	186	98	77	121	134	179	75	520	411	423	586	831
cds-CAJ66839.1	1352	949	824	1056	1138	1532	756	1364	1284	1676	2590	2077
cds-CAJ66840.1	4616	3437	4213	3507	5542	7117	3053	5357	4070	6508	9119	7561
cds-CAJ66841.1	7852	6472	8324	7622	8353	6115	7073	8442	7863	10270	14177	8244
cds-CAJ66842.1	2554	1979	2265	2417	2550	1697	2062	3014	2399	3551	4994	3043
cds-CAJ66843.1	2967	3027	3249	2975	3055	1200	2336	5281	3453	5106	5773	4353
cds-CAJ66844.1	5845	4463	5578	4542	4760	1094	3154	6710	4377	4961	6562	3319
cds-CAJ66845.1	6	4	4	10	0	1	6	148	114	176	302	307
cds-CAJ66846.1	4	4	7	1	6	6	2	10	2	6	3	8
cds-CAJ66847.1	6	12	9	8	8	3	12	10	9	27	9	20
cds-CAJ66848.1	100	64	160	86	96	26	106	90	66	80	118	68
cds-CAJ66849.1	32	6	22	20	52	24	18	17	20	19	58	76
cds-CAJ66850.1	126	100	164	111	366	302	72	150	185	191	326	468
cds-CAJ66851.1	89	105	153	94	240	289	74	171	110	141	192	233
cds-CAJ66852.1	244	171	264	238	645	970	181	455	372	486	716	712
cds-CAJ66853.1	62	55	124	103	217	383	70	182	147	227	266	375
cds-CAJ66854.1	62	64	66	53	68	30	69	134	73	177	141	86
cds-CAJ66855.1	12	5	9	8	11	4	17	13	18	14	19	11
cds-CAJ66856.1	0	7	9	4	15	38	2	23	29	35	67	45
cds-CAJ66857.1	30	24	52	30	64	30	49	100	56	124	116	88
cds-CAJ66858.1	0	0	0	0	0	2	1	0	0	0	9	11
cds-CAJ66859.1	17	17	8	12	16	8	6	41	13	30	39	43
cds-CAJ66860.1	81	97	56	138	78	141	95	406	256	327	576	571
cds-CAJ66861.1	389	408	745	349	474	45	302	461	277	393	410	201
cds-CAJ66862.1	568	457	607	257	331	57	260	385	171	392	294	162
cds-CAJ66863.1	7847	9118	114468	11670	57047	3827	20199	116957	10491	25338	48187	2043
cds-CAJ66864.1	3021	4681	59192	6997	49328	33427	12777	95208	14366	24968	59716	9054
cds-CAJ66865.1	2558	2790	3081	2346	2044	524	1610	2723	1890	1928	2393	1530
cds-CCA62785.1	5	1	0	0	2	0	0	15	24	26	24	10
cds-CAJ66866.2	7955	5564	5126	5616	4936	5398	4745	9193	6995	9535	14068	12222
cds-CAJ66867.1	1246	1294	1136	1158	1282	1942	974	926	606	916	1650	1368
cds-CAJ66868.1	3840	2562	1724	2202	1519	625	1775	2264	2112	2042	2551	1733
cds-CAJ66869.1	2844	2429	2061	2135	1793	618	1721	1514	1243	1365	1332	1135
cds-CAJ66870.1	3733	2826	2455	2511	1873	722	2293	2572	1821	2054	1993	1552
cds-CAJ66871.1	2981	2518	1813	3242	1841	777	2383	3864	5009	6790	6848	3788
cds-CAJ66872.1	74551	63344	43635	43248	41499	10364	45621	22525	21331	27195	19521	12132
cds-CAJ66873.1	7717	6416	5526	3712	3539	432	4605	2499	4331	4406	2446	1108
cds-CAJ66874.1	14099	12308	10298	6855	6880	793	8524	4420	5365	5846	4254	1805
cds-CAJ66875.1	38197	31752	26109	15955	18533	1818	20727	11046	12064	13073	7742	4094
cds-CAJ66876.1	51887	39585	35465	20672	22135	2435	24567	17445	17407	22304	13235	5732
cds-CAJ66877.1	91398	70568	63430	37849	37208	4964	50348	26758	24576	31171	19157	8066
cds-CAJ66878.1	22839	23836	22281	10615	14347	1134	14666	10401	11325	11026	9388	3243
cds-CAJ66879.1	12968	14404	13199	5567	8580	1606	7767	6290	5242	5618	5409	2387
cds-CAJ66880.1	1566	1485	2125	953	1846	3688	973	1843	1430	2705	2108	1399
cds-CAJ66881.1	132789	60121	43934	67454	48429	5822	68056	40293	41639	50236	38843	19968
cds-CAJ66882.1	148149	65102	40141	67372	40365	8487	77132	38827	42789	51711	29759	15862
cds-CAJ66883.2	7045	5812	3976	3775	3702	574	4647	2619	1858	2218	1666	1322
cds-CAJ66884.1	9565	6793	3630	3867	3582	578	5033	1992	1936	1906	1313	884
cds-CAJ66885.1	277155	150812	91739	100049	71991	19176	141036	57149	51295	63959	39989	23214
cds-CAJ66886.1	74870	63562	43665	43237	41346	10380	45794	22432	21306	27135	19391	12071
cds-CAJ66887.1	25351	19856	13155	10796	9907	470	14987	7049	8233	8556	6552	3398
cds-CAJ66888.1	79748	56073	31434	31341	24892	1576	43867	20801	21542	22454	16825	8145
cds-CAJ66889.2	18020	13368	6714	8329	5195	391	10948	7287	6819	6724	4044	2020
cds-CAJ66890.1	16364	9560	4226	4955	3720	298	7428	3031	2801	2399	1597	937
cds-CAJ66891.1	146581	79706	37597	46785	30270	3051	78313	30000	28408	33377	16070	7971
cds-CAJ66892.1	50060	26019	9940	15648	8095	1012	25249	8458	7480	8349	4281	2265
cds-CAJ66893.1	50103	26833	10786	15093	8754	1063	27653	7020	6716	7643	3394	1723
cds-CAJ66894.1	33482	18847	6636	11322	6406	893	18180	7226	5083	5970	2989	1774
cds-CAJ66895.1	11519	5939	2166	3206	1783	308	6266	1443	1024	1332	626	417
cds-CAJ66896.1	4930	2328	753	1393	595	97	2291	1167	875	1070	584	325
cds-CAJ66897.1	29996	13236	4426	6988	2984	842	15342	3531	2675	3492	1752	788
cds-CAJ66898.1	18401	8164	2869	4095	2178	547	8534	2104	1408	1811	807	540
cds-CAJ66899.2	31278	12000	4598	6434	3200	886	14030	2951	2567	3640	1737	869
cds-CAJ66900.1	18396	8787	3418	5029	2397	668	10622	2521	1720	2047	1016	707
cds-CAJ66901.1	2678	1326	479	643	312	102	1320	439	454	619	231	113
cds-CAJ66902.1	12513	6370	2780	3800	1930	641	7483	2108	1618	2024	1216	580
cds-CAJ66903.1	42920	19408	7523	10775	5573	1603	23223	5890	4686	6177	3221	1992
cds-CAJ66904.1	27515	16007	6273	8272	4300	1197	17597	3574	2937	3824	2306	1215
cds-CAJ66905.1	31066	15447	6293	8013	4841	1101	16789	4147	2685	4285	2052	1434
cds-CAJ66906.1	13853	6628	2437	3602	1698	454	6960	1730	1324	1877	1106	724
cds-CAJ66907.1	45946	18331	8288	9925	5515	1370	23104	6180	4559	7487	4284	2360
cds-CAJ66908.1	168623	63223	26499	39193	19165	4552	85210	29623	21978	35417	16980	10095
cds-CAJ66909.1	68164	30438	12609	18758	9580	1906	38745	12949	10068	16122	8329	4338
cds-CAJ66910.1	77730	41994	18234	21956	14390	2622	48862	14599	12757	20444	8727	4061
cds-CAJ66911.2	2592	1375	478	1057	354	88	1518	3719	3018	4170	2535	1124
cds-CAJ66912.1	5019	3159	1659	1787	1402	245	3705	1410	1159	2030	939	419
cds-CAJ66913.1	959	572	251	383	242	37	618	500	444	585	254	149
cds-CAJ66914.1	10042	6959	3682	3906	3238	476	6110	3997	3249	4357	2444	1111
cds-CAJ66915.1	27478	16973	10161	8234	7740	1433	14208	5587	5584	7369	4099	1877
cds-CAJ66916.1	115531	72136	54658	40199	33154	6427	71601	30082	31742	47357	25140	10479
cds-CAJ66917.1	28937	21222	15459	12069	10357	2025	18712	12738	10895	15312	9941	4355
cds-CAJ66918.1	9048	7006	5485	3746	4077	1007	5630	3975	2404	3842	2375	1265
cds-CAJ66919.1	1580	1260	1272	1473	1434	235	1157	1678	1517	1356	1818	907
cds-CAJ66920.1	1955	1409	2050	1646	1789	199	1468	2061	1316	1282	1755	730
cds-CAJ66921.1	1606	1364	1726	1586	1422	148	1314	3061	2427	2545	2664	982
cds-CAJ66922.1	4688	3496	4468	3543	3377	334	3392	4151	3627	3771	3633	964
cds-CAJ66923.1	11349	13265	13998	8662	10015	887	8002	5959	5503	5678	6026	3998
cds-CAJ66924.1	3066	3635	4197	2528	3184	406	2190	1798	1652	1653	2414	1432
cds-CAJ66925.1	151	202	179	80	111	10	81	164	490	4170	1157	2091
cds-CAJ66926.1	3965	3904	6754	2969	2148	838	2369	6505	3216	2293	4366	2497
cds-CAJ66927.1	5601	5160	8867	8335	8269	3476	3954	12973	9839	6240	17674	6161
cds-CAJ66928.1	1063	1094	1494	1881	1627	749	840	2641	1634	1003	3056	1365
cds-CAJ66929.1	549	392	380	436	264	240	229	470	494	465	810	817
cds-CAJ66930.1	722	625	704	758	536	796	450	483	533	437	933	898
cds-CAJ66931.1	0	0	0	0	2	0	0	2	0	0	2	7
cds-CAJ66932.1	2261	2065	3309	2076	3416	26598	4107	3677	3928	3278	6604	6557
cds-CAJ66933.1	2008	1860	3069	2063	3769	20761	3168	4018	3865	2963	6185	6053
cds-CAJ66934.1	1016	981	1483	1372	1900	10193	1618	3254	3447	2747	6481	4151
cds-CAJ66935.1	715	1006	2478	1582	2800	12606	1161	3378	3401	2731	7682	4008
cds-CAJ66936.1	7575	8074	17737	11954	21077	105878	9521	20021	20712	18549	36256	24605
cds-CAJ66937.1	8255	8898	19764	13366	23435	115204	10824	20940	24169	21774	39864	26078
cds-CAJ66938.1	5338	5518	12858	9103	14951	84306	7266	16185	16743	14595	30590	21571
cds-CAJ66939.2	13362	12623	15753	8726	10578	1374	6597	8464	7421	6812	8639	4256
cds-CAJ66940.1	46533	40776	49498	28479	27929	3395	24803	23759	27024	23210	21864	9713
cds-CAJ66941.1	1237	1045	1092	796	634	85	713	1318	1742	1453	1142	435
cds-CAJ66942.1	45	50	38	37	27	3	23	144	219	231	146	142
cds-CAJ66943.1	6985	5295	5432	3964	3317	680	3155	2607	2597	3887	3542	2855
cds-CAJ66944.1	1531	1267	1149	856	766	115	707	1300	1586	5878	2399	2458
cds-CAJ66945.1	237	219	226	98	136	22	82	139	169	902	283	445
cds-CAJ66946.1	6	0	2	0	0	0	0	12	4	70	10	18
cds-CAJ66947.1	800	996	1100	900	862	122	939	679	532	690	832	673
cds-CAJ66948.1	863	1040	992	1051	1023	138	1045	945	693	875	1078	779
cds-CAJ66949.1	84	72	116	84	66	5	138	213	256	1014	321	442
cds-CAJ66950.1	4467	5000	3135	2820	3489	714	3501	2895	1920	1674	3196	2936
cds-CAJ66951.1	16	15	24	28	20	34	126	189	376	5324	1144	1628
cds-CAJ66952.1	581	446	523	364	357	34	324	622	600	1326	754	609
cds-CAJ66953.1	70	74	122	78	44	3	53	344	435	579	390	291
cds-CAJ66954.1	31	27	36	19	42	12	17	217	172	218	274	289
cds-CAJ66955.1	6	2	0	0	6	0	6	4	8	2	6	4
cds-CAJ66956.1	20	34	26	7	6	16	33	2	7	14	14	10
cds-CAJ66957.1	150	120	68	51	40	41	143	22	55	84	52	24
cds-CAJ66958.1	14	12	8	9	20	15	19	0	0	8	1	0
cds-CAJ66959.1	51	40	14	27	16	30	34	9	2	24	9	8
cds-CAJ66960.1	40	26	19	47	56	8	27	67	44	70	65	47
cds-CAJ66961.1	54	55	56	47	54	24	48	94	69	112	112	76
cds-CAJ66962.1	1644	2354	2920	3387	3270	24280	2530	4462	2758	2564	5190	3445
cds-CAJ66963.1	11356	10860	10826	10182	11433	2840	9034	14505	14166	13671	17013	7274
cds-CAJ66964.1	3366	3626	3513	3713	3225	801	2885	5290	5912	5266	7058	2060
cds-CAJ66965.2	1311	1339	1172	1253	1503	204	1036	1574	1851	1944	1562	502
cds-CAJ66966.1	1534	1613	1540	1440	1314	216	1138	1474	2402	3152	2118	659
cds-CAJ66967.1	755	423	435	413	316	342	336	555	619	620	2427	3847
cds-CAJ66968.1	59	27	68	143	74	80	110	309	312	762	797	473
cds-CAJ66969.1	158	181	205	167	166	80	147	539	624	819	889	559
cds-CAJ66970.1	875	717	846	864	641	373	960	1403	1438	2398	2789	1526
cds-CAJ66971.1	75	53	54	49	48	32	45	213	235	274	343	223
cds-CAJ66972.1	1758	1525	1600	1457	1435	707	1418	1901	1749	2804	2864	1637
cds-CAJ66973.1	1937	2291	3353	4523	4225	1069	1817	3370	2683	4362	4991	2349
cds-CAJ66974.1	113	134	133	206	168	63	67	176	120	186	225	104
cds-CAJ66975.1	464	510	590	1106	797	425	435	1185	1054	1591	1871	1105
cds-CAJ66976.1	797	686	900	732	595	304	689	1023	685	1169	906	1074
cds-CAJ66977.3	94	57	95	109	41	14	56	700	771	739	965	1316
cds-CAJ66978.1	29	42	30	24	32	6	43	40	24	42	51	44
cds-CAJ66979.1	2	0	0	0	0	0	0	10	18	4	12	24
cds-CAJ66980.1	304	196	57	280	40	10	211	59	36	79	87	61
cds-CAJ66981.1	561	415	82	366	56	32	341	149	133	298	209	128
cds-CAJ66982.1	37	31	2	35	4	7	23	47	39	60	85	67
cds-CAJ66983.1	5	9	2	5	2	5	2	22	16	26	48	42
cds-CAJ66984.1	58	52	37	104	82	161	54	125	75	96	164	250
cds-CAJ66985.1	32	28	2	17	9	2	12	26	9	41	20	23
cds-CAJ66986.1	102	53	36	45	41	28	98	66	63	379	160	125
cds-CAJ66987.1	74	47	30	54	34	26	88	38	54	171	82	39
cds-CAJ66988.1	78	94	84	82	54	30	72	145	120	136	188	267
cds-CAJ66989.1	34	14	76	52	43	33	15	116	142	80	162	251
cds-CAJ66990.1	1904	1315	1343	1315	1181	332	1182	1467	1081	1688	1902	1451
cds-CAJ66991.1	1676	1382	1261	1140	948	134	1029	1365	1201	1548	2014	1258
cds-CAJ66992.1	3697	4986	9280	4601	8618	5260	4360	9774	6633	6938	11479	9891
cds-CAJ66993.1	143	155	201	146	246	177	117	557	594	375	642	662
cds-CAJ66994.1	2435	5331	7747	4998	8242	12962	2737	3720	1851	2301	4607	5171
cds-CAJ66995.1	296	273	292	255	246	254	245	597	842	829	974	716
cds-CAJ66996.1	28115	17897	16400	21996	22827	81852	17589	27058	25813	20258	29304	2134
cds-CAJ66997.1	3174	2275	1683	2637	2619	10480	2482	3819	4050	4077	5143	367
cds-CAJ66998.1	5830	4457	3334	6433	5441	22692	4436	14668	16883	11162	17893	1938
cds-CAJ66999.1	6244	6840	17663	12363	33114	30719	9716	25516	14829	19069	51393	45733
cds-CAJ67000.1	49	50	61	61	40	30	40	78	62	130	194	154
cds-CAJ67001.1	23317	22023	51864	59276	96118	563626	64598	101308	67623	75375	204952	224448
cds-CD630_01800	44	9	29	37	28	19	12	80	75	63	131	36
cds-CAJ67003.1	15	26	33	53	47	20	36	895	686	560	1372	1332
cds-CCA62786.1	1	5	1	1	3	1	5	25	15	7	39	67
cds-CAJ67004.1	2	5	10	4	8	2	2	55	65	29	95	136
cds-CAJ67005.1	9250	9491	11106	8116	7835	1416	5848	4434	4520	3931	6352	5385
cds-CAJ67006.1	1076	923	1015	574	928	150	712	1124	1737	1376	2481	1731
cds-CAJ67007.1	172	142	161	107	146	26	95	306	372	265	448	356
cds-CAJ67008.1	244	207	244	148	327	32	212	250	252	252	386	258
cds-CAJ67009.1	210	320	626	244	786	84	304	656	782	1126	1349	822
cds-CAJ67010.1	202	175	365	368	486	1077	230	477	521	608	1084	1853
cds-CAJ67011.1	490	423	615	437	403	179	440	1073	799	1248	1205	738
cds-CAJ67012.1	82	110	781	143	3436	6256	36	1800	1539	607	6423	250
cds-CAJ67013.1	434	396	272	275	232	84	205	453	276	396	422	141
cds-CAJ67014.1	1941	1326	966	1094	794	318	1018	1771	1295	2047	1441	627
cds-CAJ67015.1	51	64	69	49	68	48	46	78	39	99	168	120
cds-CAJ67016.1	5522	4464	5631	3609	6650	9143	3834	8262	5060	10148	20130	19177
cds-CAJ67017.1	62	81	76	37	35	18	31	67	52	41	75	36
cds-CD630_01960	821	610	702	577	485	250	522	683	579	880	994	1028
cds-CAJ67019.1	16203	14066	17478	11408	12015	4135	9633	14496	11059	10906	17498	14464
cds-CCA62787.1	158	149	154	122	103	32	63	436	168	185	355	383
cds-CAJ67020.1	460	535	661	654	654	210	352	909	699	477	949	588
cds-CD630_02000	117	76	138	57	93	20	73	179	150	271	169	82
cds-CAJ67022.1	219	122	263	160	129	54	135	350	489	790	488	210
cds-CAJ67023.1	274	111	156	236	97	54	173	483	478	1152	783	542
cds-CAJ67024.1	552	346	324	346	331	82	419	596	560	622	553	405
cds-CAJ67025.1	1132	1196	1561	1424	1248	302	1074	2291	2135	2557	4224	3400
cds-CAJ67026.1	8	2	0	8	0	1	3	20	20	36	60	30
cds-CAJ67027.1	6	0	2	4	0	0	4	0	4	8	4	3
cds-CAJ67028.1	38	26	36	49	55	61	16	32	44	60	122	65
cds-CAJ67029.1	22	22	34	24	58	41	21	30	21	30	61	30
cds-CAJ67030.1	8	21	38	22	32	16	17	4	22	26	43	39
cds-CAJ67031.1	134	109	74	105	63	10	46	108	56	56	101	56
cds-CAJ67032.1	1512	1286	1350	627	617	24	738	571	259	311	201	181
cds-CAJ67033.1	3216	3185	3261	1855	1179	58	1869	3312	1579	1836	1339	909
cds-CAJ67034.1	65	44	67	51	11	4	14	61	77	629	137	187
cds-CAJ67035.1	9	4	11	6	5	0	0	33	22	150	38	45
cds-CAJ67036.1	223	165	230	181	148	218	147	167	142	264	658	558
cds-CAJ67037.1	406	300	445	308	369	414	256	605	315	674	1366	1551
cds-CAJ67038.1	79	41	26	63	55	68	53	83	64	60	129	178
cds-CAJ67039.1	1260	1101	842	891	961	422	666	820	690	1016	1430	1343
cds-CAJ67040.1	708	566	372	597	516	149	451	573	521	613	1129	1075
cds-CAJ67041.1	790	670	574	692	748	256	707	911	910	887	1619	1471
cds-CAJ67042.1	1690	1364	987	1504	1576	448	1456	1489	1285	1334	1739	1674
cds-CAJ67043.1	830	618	502	698	819	212	841	892	748	780	889	849
cds-CAJ67044.1	1284	1058	601	1395	1508	347	1311	2200	2613	2560	2917	2464
cds-CAJ67045.1	1407	1006	672	1374	1419	397	1340	1480	1289	1255	1562	1345
cds-CAJ67046.1	9999	8200	6135	12424	9131	3618	11027	10743	10623	10932	13406	9940
cds-CAJ67047.1	5929	5092	5457	3095	2557	600	3795	3298	1214	1857	1474	1380
cds-CAJ67048.1	65	74	93	53	42	14	49	717	477	477	503	536
cds-CAJ67049.1	28	17	30	18	8	0	11	394	245	188	186	212
cds-CAJ67050.1	138	88	86	83	41	24	66	153	52	37	46	35
cds-CAJ67051.1	162	129	78	125	39	18	65	402	151	118	166	141
cds-CAJ67052.1	20567	16022	12170	10776	6864	2960	13002	11075	4372	7546	4686	3722
cds-CAJ67053.1	16994	15461	12131	10391	6890	3174	11137	8624	3479	5423	3477	3057
cds-CAJ67054.1	1070	836	379	1087	281	153	604	1538	538	854	629	562
cds-CAJ67055.1	931	1293	896	754	505	221	822	538	257	386	263	291
cds-CAJ67056.1	1175	1433	906	908	585	258	935	1159	350	735	470	323
cds-CAJ67057.1	2095	1797	1069	1479	660	348	1274	1776	887	1676	961	717
cds-CAJ67058.1	33298	32280	27759	21589	15169	7649	23989	20732	8789	17039	10430	7502
cds-CAJ67059.1	523	559	359	882	249	167	375	2021	782	1205	918	918
cds-CAJ67060.1	179973	225288	280937	103281	107654	76371	139785	119570	44736	86319	46461	38836
cds-CAJ67061.1	556	577	615	402	243	37	359	5591	2186	2635	1752	1192
cds-CAJ67062.1	1561	1171	992	442	407	47	529	1351	591	805	414	339
cds-CAJ67063.1	4475	4316	3573	1588	1261	238	2386	2368	904	1554	755	557
cds-CAJ67064.1	2317	2469	1990	906	669	137	1185	2475	997	1825	892	656
cds-CAJ67065.1	3327	2878	3000	1234	914	170	1537	3780	1411	2507	1193	1168
cds-CAJ67066.1	1688	1421	848	936	847	331	863	1380	1197	1284	1428	1622
cds-CAJ67067.1	3277	3672	2832	1801	1998	941	2150	1578	1285	1319	1675	1792
cds-CAJ67068.1	1826	1679	1036	1022	799	373	1229	1635	1695	1888	2224	1783
cds-CAJ67069.1	13031	11541	8168	5465	6348	2142	7298	5596	4101	4994	5354	5445
cds-CAJ67070.1	6293	5730	4078	3148	3001	1020	4086	3944	3581	4223	4308	4036
cds-CAJ67071.1	1626	1449	768	724	776	291	895	923	805	761	891	982
cds-CAJ67072.1	6367	6564	4848	3049	4067	1021	3906	3249	2472	2980	3203	3232
cds-CAJ67073.2	252	329	111	217	125	18	142	416	279	394	472	352
cds-CAJ67074.1	2599	2122	1090	1112	1093	152	1440	1519	1588	1307	1437	1665
cds-CAJ67075.1	2275	2571	1672	1126	1549	197	1389	786	484	673	476	671
cds-CAJ67076.1	12383	10611	8157	5376	6749	1062	6807	3785	3010	3011	3039	3056
cds-CAJ67077.1	2239	1775	1203	905	985	160	1125	738	556	550	692	599
cds-CAJ67078.1	10287	7925	6539	4379	4881	861	5930	5261	3803	4512	3806	4350
cds-CAJ67079.1	2059	2362	1778	1174	1602	200	1466	1420	1074	1065	1207	1228
cds-CAJ67080.1	415	369	182	321	210	33	183	637	605	470	684	772
cds-CAJ67081.1	84	87	56	51	46	11	38	840	1006	750	939	839
cds-CAJ67082.1	10681	7567	6222	4667	4411	866	5085	4858	4087	4229	5307	4245
cds-CAJ67083.1	4657	3200	2757	1825	1988	448	2329	1555	1086	1039	1391	1531
cds-CAJ67084.1	13579	11232	8721	6084	6371	861	6935	9061	6720	6893	7491	6456
cds-CAJ67085.1	22287	19160	14578	10326	10861	1192	12092	8887	7183	7338	6981	5297
cds-CAJ67086.1	4579	4394	3422	2451	2852	294	2400	2467	2371	1957	1905	1350
cds-CAJ67087.1	5343	4683	3412	3150	2679	422	2660	3549	3324	2614	3300	2345
cds-CAJ67088.1	1162	1085	689	683	657	101	597	1172	867	529	810	949
cds-CAJ67089.1	98	135	87	92	70	9	41	207	198	117	165	237
cds-CCA62788.1	203	157	226	120	136	26	102	41	51	12	37	46
cds-CAJ67090.1	5314	5100	4539	3033	3546	737	3071	2220	1896	1897	2011	1803
cds-CAJ67091.1	3794	3685	3378	2125	2496	523	2304	2296	1758	1976	2215	1952
cds-CAJ67092.1	2754	2548	2096	1633	1700	420	1551	2671	2164	2458	3391	2596
cds-CAJ67093.1	1114	1139	1065	664	872	225	628	918	678	661	1069	1050
cds-CAJ67094.1	993	1047	803	825	648	199	702	2349	1984	2133	3311	3257
cds-CAJ67095.1	2106	2534	2797	2170	2698	1058	1785	5634	4469	6059	10065	8627
cds-CCA62789.1	0	0	1	1	0	0	0	29	16	12	40	38
cds-CAJ67096.1	948	727	1023	955	751	725	734	978	731	714	1376	1174
cds-CAJ67097.1	509	433	485	516	425	297	463	468	441	481	761	684
cds-CAJ67098.1	228	200	259	198	130	67	212	220	169	314	255	184
cds-CAJ67099.1	17	16	25	20	9	8	8	72	61	71	113	100
cds-CAJ67100.1	47	59	45	129	53	37	41	123	49	114	137	121
cds-CAJ67101.1	84	154	303	275	383	2924	248	550	177	235	875	608
cds-CAJ67102.1	4	0	0	4	7	12	2	97	72	33	129	209
cds-CAJ67103.1	4	0	6	7	3	4	0	226	352	261	342	265
cds-CAJ67104.1	1039	891	2217	1169	1137	768	950	2395	4046	2605	2867	2143
cds-CAJ67105.1	95	87	119	102	102	109	118	194	161	145	287	251
cds-CAJ67106.1	0	0	182	0	4	209	9	2	225	4	2	546
cds-CAJ67107.1	4	4	226	3	0	222	9	5	767	8	7	1441
cds-CAJ67108.1	0	2	434	1	2	349	22	5	580	0	7	1363
cds-CAJ67109.1	0	0	1207	12	8	1368	53	13	929	8	31	2678
cds-CAJ67110.1	7	8	2214	17	6	2953	97	36	2434	24	38	5409
cds-CAJ67111.1	11	10	1451	8	8	2383	20	20	1504	64	47	3887
cds-CAJ67112.1	8	4	489	2	4	790	2	9	245	8	4	935
cds-CAJ67113.1	2	0	179	2	4	354	4	4	362	7	18	742
cds-CAJ67114.1	84	37	38	78	54	42	76	86	68	355	158	124
cds-CCA62790.1	4	2	3	1	0	1	0	1	2	9	13	5
cds-CAJ67115.2	129	102	91	127	99	94	85	101	88	352	172	138
cds-CAJ67116.1	20	6	5	43	5	4	8	101	105	426	289	263
cds-CAJ67117.1	826	1222	2684	1491	2737	1352	1129	2227	1661	1588	2864	1207
cds-CAJ67118.1	50	60	142	41	95	87	60	110	79	118	205	190
cds-CAJ67119.1	0	2	10	0	4	4	2	10	18	20	30	12
cds-CAJ67120.2	56	40	68	16	14	760	430	12	30	26	56	60
cds-CAJ67121.1	4	8	27	7	3	133	65	38	26	23	48	77
cds-CAJ67122.1	84	49	62	27	33	1387	406	35	37	52	53	124
cds-CAJ67123.1	15	29	11	8	2	1515	166	31	19	25	25	55
cds-CAJ67124.1	1	8	14	2	11	580	11	14	11	10	11	7
cds-CAJ67125.1	32	33	26	10	30	1530	46	15	5	20	34	36
cds-CAJ67126.1	28	25	58	28	28	1566	38	39	24	78	46	76
cds-CAJ67127.1	47	56	58	47	46	306	39	60	61	108	104	79
cds-CAJ67128.1	17	27	22	42	21	10	29	378	619	391	901	691
cds-CAJ67129.1	895	834	986	748	878	466	579	1275	1120	1507	1929	1304
cds-CAJ67130.1	260	241	285	307	202	108	216	1564	1288	1212	1890	1776
cds-CAJ67131.1	939	840	978	1011	644	308	768	1638	1866	1923	2703	1359
cds-CAJ67132.1	99	103	153	145	108	51	128	436	421	399	528	382
cds-CAJ67133.1	594	377	602	506	447	551	1607	3698	11909	214678	41466	76452
cds-CAJ67134.1	15	10	0	31	25	0	30	127	106	136	138	396
cds-CAJ67135.1	2838	1959	2152	3239	3034	157	2112	4056	3836	4862	5338	12159
cds-CAJ67136.1	135	102	142	73	61	4	37	319	564	3809	1104	1886
cds-CAJ67137.1	54	47	50	24	34	5	23	68	72	206	106	111
cds-CAJ67138.1	990	705	1012	712	846	393	613	848	800	1248	1169	655
cds-CAJ67139.1	523	406	381	366	349	139	317	544	523	771	781	391
