time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
19800	0.3385	0.3520833	0.40525	0.3195	0.3638333	0.3055833	0.4531667	0.20575	0.1951667	0.2175833	0.213	0.26175	0.2258333	0.2939167	0.2573333	0.2438333	0.3324167	0.29575	0.3446667	0.2785	0.3414167
20700	0.3846667	0.3515833	0.3478333	0.4059167	0.4063333	0.3393333	0.47925	0.2575	0.2050833	0.1631667	0.3048333	0.3079167	0.26425	0.32875	0.30025	0.2616667	0.2878333	0.3875833	0.403	0.335	0.377
21600	0.4543333	0.3914167	0.386	0.435	0.43275	0.3595833	0.4241667	0.34975	0.2514167	0.1965833	0.3428333	0.3480833	0.2885833	0.2975	0.3934167	0.3036667	0.325	0.4203333	0.4374167	0.345	0.3345833
22500	0.4794167	0.41625	0.3856667	0.37675	0.5120833	0.3911667	0.45125	0.3885	0.2864167	0.20525	0.3050833	0.44175	0.3423333	0.34725	0.4174167	0.3346667	0.3326667	0.3826667	0.5235	0.3906667	0.378
23400	0.4164167	0.4938333	0.4171667	0.4078333	0.5381667	0.41625	0.457	0.3403333	0.37675	0.2440833	0.353	0.4769167	0.3783333	0.3678333	0.36725	0.4263333	0.3738333	0.4343333	0.54775	0.42825	0.4003333
24300	0.45675	0.5109167	0.4351667	0.4123333	0.4818333	0.4935	0.48725	0.3899167	0.4095	0.2696667	0.375	0.4346667	0.4715	0.4139167	0.406	0.4451667	0.397	0.4465	0.5001667	0.5173333	0.4351667
25200	0.4544167	0.4524167	0.5126667	0.4526667	0.5058333	0.51725	0.5071667	0.3951667	0.3600833	0.3544167	0.4248333	0.4781667	0.5039167	0.4449167	0.4085	0.3966667	0.4798333	0.4993333	0.52825	0.54675	0.4570833
26100	0.498	0.4784167	0.5256667	0.4659167	0.5134167	0.47025	0.5843333	0.4480833	0.4024167	0.3791667	0.45625	0.4841667	0.4598333	0.5226667	0.4599167	0.4381667	0.4999167	0.5304167	0.53375	0.4948333	0.5430833
27000	0.525	0.4750833	0.46925	0.5511667	0.5391667	0.4965833	0.5950833	0.4800833	0.4105833	0.3284167	0.5474167	0.5180833	0.4914167	0.5418333	0.4885833	0.4446667	0.4404167	0.60075	0.5655	0.52225	0.5631667
27900	0.5943333	0.5103333	0.49375	0.5756667	0.5581667	0.50525	0.5348333	0.5588333	0.4490833	0.3585	0.5724167	0.5355	0.5033333	0.4910833	0.5674167	0.4889167	0.46625	0.6223333	0.5883333	0.52525	0.5119167
28800	0.603	0.5209167	0.5020833	0.5108333	0.62175	0.532	0.5520833	0.5810833	0.4745833	0.3656667	0.5224167	0.6075833	0.5295833	0.5196667	0.5880833	0.5058333	0.467	0.5665833	0.65875	0.5466667	0.5355
29700	0.5315833	0.5866667	0.5189167	0.5451667	0.6379167	0.54525	0.5411667	0.5088333	0.5578333	0.4065833	0.54725	0.6230833	0.5413333	0.51625	0.5228333	0.59175	0.4943333	0.5880833	0.6765	0.5616667	0.5474167
30600	0.5476667	0.5966667	0.536	0.5410833	0.56625	0.6095	0.558	0.53325	0.5766667	0.425	0.5529167	0.566	0.6176667	0.5410833	0.54775	0.6173333	0.50975	0.5921667	0.6145833	0.6351667	0.5713333
31500	0.5316667	0.52525	0.6065833	0.5720833	0.58225	0.617	0.5625833	0.5288333	0.5146667	0.49975	0.5734167	0.588	0.6321667	0.55175	0.54375	0.5568333	0.5828333	0.62275	0.6293333	0.6515833	0.5885
32400	0.5571667	0.5421667	0.6125833	0.58175	0.5703333	0.5513333	0.6219167	0.564	0.5370833	0.5189167	0.5919167	0.585	0.57775	0.6215	0.5796667	0.5785	0.5931667	0.6344167	0.6190833	0.5900833	0.654
33300	0.5699167	0.5281667	0.5425	0.6461667	0.5875	0.5703333	0.6266667	0.5795	0.534	0.4583333	0.6533333	0.6020833	0.5986667	0.6304167	0.604	0.574	0.5259167	0.7005833	0.6386667	0.6153333	0.66025
34200	0.6305833	0.5445833	0.5576667	0.6534167	0.5913333	0.56175	0.5534167	0.6498333	0.5591667	0.4831667	0.66325	0.60925	0.58825	0.5723333	0.6725	0.5964167	0.5451667	0.70025	0.6411667	0.61125	0.5963333
35100	0.6299167	0.5465	0.5478333	0.5749167	0.6473333	0.5805833	0.5658333	0.65325	0.56975	0.4798333	0.5978333	0.6688333	0.6025	0.58775	0.6765	0.603	0.5355833	0.6241667	0.6995833	0.6308333	0.6096667
36000	0.54375	0.6120833	0.5654167	0.5895	0.6476667	0.5861667	0.551	0.5756667	0.6360833	0.5075833	0.6095833	0.67025	0.60775	0.57775	0.599	0.6698333	0.5533333	0.6358333	0.7006667	0.63325	0.59975
36900	0.55525	0.6185833	0.5721667	0.57675	0.5735833	0.6433333	0.5625833	0.591	0.6425833	0.5205	0.5963333	0.598	0.66625	0.5933333	0.6144167	0.67475	0.5621667	0.6201667	0.6304167	0.6901667	0.6195833
37800	0.5325	0.5400833	0.6329167	0.5868333	0.5815833	0.6424167	0.5658333	0.571	0.5681667	0.58525	0.6065	0.6069167	0.6643333	0.59675	0.5958333	0.5996667	0.625	0.6328333	0.6373333	0.6893333	0.6219167
38700	0.5504167	0.5508333	0.6366667	0.5890833	0.5656667	0.5719167	0.6200833	0.5944167	0.5825833	0.5901667	0.6108333	0.5928333	0.5913333	0.656	0.617	0.6108333	0.6304167	0.63175	0.623	0.6114167	0.6775833
39600	0.5560833	0.5333333	0.5616667	0.6454167	0.5798333	0.5815	0.621	0.6025833	0.5654167	0.5201667	0.6695833	0.6046667	0.6020833	0.6580833	0.6244167	0.5923333	0.55625	0.6839167	0.6320833	0.625	0.67925
40500	0.6126667	0.54775	0.5694167	0.6423333	0.5800833	0.5646667	0.5474167	0.6598333	0.5854167	0.5334167	0.67075	0.6038333	0.58925	0.58625	0.6834167	0.6113333	0.5670833	0.6795	0.63025	0.6080833	0.6051667
41400	0.6111667	0.55125	0.55475	0.5685	0.6324167	0.5793333	0.55775	0.6620833	0.5875833	0.5221667	0.5958333	0.6608333	0.5971667	0.5944167	0.6845833	0.6129167	0.5523333	0.6053333	0.6823333	0.6185833	0.617
42300	0.5276667	0.6103333	0.5720833	0.5779167	0.6286667	0.5795	0.5404167	0.5786667	0.6491667	0.5415	0.60325	0.6585	0.5985	0.5835	0.5981667	0.675	0.5690833	0.61025	0.6790833	0.6189167	0.60175
43200	0.537	0.6119167	0.5720833	0.5576667	0.55875	0.6324167	0.5525833	0.58625	0.64925	0.544	0.5864167	0.58475	0.6494167	0.595	0.6065833	0.6761667	0.573	0.5910833	0.6034167	0.6688333	0.6149167
44100	0.5149167	0.5328333	0.6338333	0.5688333	0.5655	0.6295	0.55275	0.5646667	0.5708333	0.60525	0.5926667	0.5914167	0.6460833	0.59625	0.5825833	0.5986667	0.63225	0.601	0.6083333	0.6665833	0.6185833
45000	0.5305833	0.5436667	0.6329167	0.5645	0.5489167	0.5564167	0.6054167	0.5816667	0.58125	0.6073333	0.59275	0.5746667	0.5739167	0.64925	0.5994167	0.6074167	0.63175	0.5966667	0.58925	0.5899167	0.66875
45900	0.5340833	0.5246667	0.5560833	0.6196667	0.5599167	0.5623333	0.60525	0.5853333	0.563	0.5304167	0.6476667	0.5833333	0.57825	0.6496667	0.601	0.5888333	0.55375	0.6443333	0.5954167	0.5956667	0.6695833
46800	0.5944167	0.5400833	0.5671667	0.61325	0.5564167	0.5455833	0.53025	0.64175	0.57875	0.5404167	0.6425	0.5841667	0.5564167	0.5769167	0.65725	0.60225	0.5615833	0.6371667	0.59375	0.578	0.5941667
47700	0.5939167	0.53975	0.549	0.5365833	0.6123333	0.5544167	0.5381667	0.6414167	0.5808333	0.5241667	0.5675	0.63675	0.564	0.5843333	0.6510833	0.6018333	0.5460833	0.5605	0.6478333	0.5835	0.6021667
48600	0.5096667	0.6005833	0.5611667	0.5411667	0.61	0.55275	0.52125	0.5535	0.641	0.54	0.57075	0.6361667	0.56025	0.56725	0.5625	0.6606667	0.5575833	0.5635	0.6415833	0.5785833	0.5795833
49500	0.5155	0.6003333	0.5638333	0.5225	0.5325833	0.60575	0.5334167	0.5591667	0.6386667	0.5426667	0.5528333	0.56	0.6095	0.5795833	0.5670833	0.656	0.5583333	0.5445833	0.5684167	0.6290833	0.5915833
50400	0.4949167	0.5179167	0.62125	0.5275833	0.5423333	0.6013333	0.5316667	0.53475	0.5598333	0.5995833	0.5593333	0.5685	0.6053333	0.5759167	0.5428333	0.57575	0.6151667	0.5529167	0.5746667	0.622	0.5873333
51300	0.5118333	0.5274167	0.6198333	0.5270833	0.524	0.5256667	0.5836667	0.5500833	0.571	0.6006667	0.5585833	0.5509167	0.5286667	0.6261667	0.5615	0.585	0.6124167	0.5526667	0.5573333	0.544	0.6365
52200	0.5155	0.5061667	0.5415	0.57825	0.535	0.5328333	0.5823333	0.5526667	0.5485	0.524	0.61175	0.56075	0.5341667	0.6234167	0.5621667	0.5614167	0.5350833	0.6043333	0.5651667	0.5491667	0.6346667
53100	0.5710833	0.5224167	0.55025	0.5744167	0.5335833	0.5145833	0.5086667	0.6069167	0.561	0.5324167	0.6075	0.5605833	0.51275	0.5475833	0.6161667	0.57475	0.5418333	0.6015833	0.564	0.5315833	0.5585833
54000	0.5700833	0.5218333	0.5350833	0.4978333	0.5875833	0.5229167	0.5174167	0.6045	0.5585833	0.515	0.5304167	0.6154167	0.52125	0.5564167	0.6148333	0.5688333	0.5234167	0.5255	0.6188333	0.5391667	0.5668333
54900	0.48575	0.5824167	0.5456667	0.5006667	0.587	0.5195833	0.49975	0.5190833	0.6179167	0.5276667	0.5360833	0.6121667	0.5168333	0.5385833	0.5301667	0.6269167	0.5349167	0.53225	0.6169167	0.5358333	0.5458333
55800	0.49325	0.5810833	0.5456667	0.4855	0.5134167	0.5710833	0.5126667	0.5264167	0.6165	0.5276667	0.5175	0.5396667	0.569	0.5508333	0.538	0.6253333	0.5351667	0.5139167	0.5435	0.5870833	0.55875
