time	BHI	BHI	BHI	But10	But10	But10	But25	But25	But25	But5	But5	But5	But50	But50	But50
27900	0.3735	0.30575	0.376	0.254916667	0.196333333	0.293	0.174833333	0.172916667	0.171333333	0.309166667	0.24975	0.301666667	0.124166667	0.131666667	0.168916667
28800	0.393166667	0.325416667	0.39925	0.264333333	0.208333333	0.307916667	0.1825	0.177083333	0.178	0.314083333	0.267666667	0.313916667	0.127333333	0.135916667	0.174833333
29700	0.408333333	0.354833333	0.422583333	0.27925	0.229833333	0.327	0.187583333	0.184416667	0.19075	0.327833333	0.288416667	0.33475	0.129	0.1405	0.182833333
30600	0.43075	0.381166667	0.440333333	0.29875	0.251083333	0.342	0.204	0.190916667	0.195666667	0.352666667	0.30925	0.352	0.137333333	0.14575	0.1845
31500	0.449416667	0.403166667	0.460666667	0.31275	0.269083333	0.354916667	0.21275	0.200333333	0.205666667	0.367833333	0.33275	0.373083333	0.14225	0.151	0.188166667
32400	0.460833333	0.431916667	0.481333333	0.329583333	0.290583333	0.375416667	0.219833333	0.207333333	0.219	0.384916667	0.354833333	0.39775	0.142583333	0.16075	0.19675
33300	0.477416667	0.455083333	0.492166667	0.356	0.31525	0.392416667	0.239916667	0.225166667	0.229416667	0.4015	0.38225	0.41625	0.151333333	0.166333333	0.20325
34200	4.90E-01	4.72E-01	5.04E-01	3.70E-01	3.37E-01	4.08E-01	2.48E-01	2.33E-01	2.41E-01	4.13E-01	4.00E-01	4.29E-01	1.60E-01	1.72E-01	2.10E-01
35100	0.49825	0.492416667	0.522083333	0.382833333	0.358833333	0.425166667	0.25575	0.252416667	0.2555	0.432083333	0.422916667	0.448416667	0.160416667	0.182416667	0.2185
36000	0.514333333	0.513666667	0.5295	0.406666667	0.38	0.442416667	0.277583333	0.265	0.266083333	0.451166667	0.449583333	0.461166667	0.1735	0.190916667	0.223416667
36900	5.20E-01	5.25E-01	5.45E-01	4.18E-01	3.99E-01	4.55E-01	2.85E-01	2.76E-01	2.74E-01	4.58E-01	4.58E-01	4.76E-01	1.80E-01	1.99E-01	2.30E-01
37800	0.524416667	0.537833333	0.559166667	0.434833333	0.42175	0.471833333	0.295916667	0.301	0.291333333	0.465916667	0.48925	0.49275	0.18	0.213916667	0.23775
38700	0.538416667	0.55625	0.567333333	0.450833333	0.446416667	0.48725	0.315666667	0.31625	0.304416667	0.4835	0.49725	0.509083333	0.191666667	0.22225	0.244666667
39600	0.543083333	0.562916667	0.571916667	0.465333333	0.464416667	0.501166667	0.325166667	0.336416667	0.318333333	0.499583333	0.518166667	0.51075	0.194833333	0.231916667	0.252416667
40500	0.54675	0.576166667	0.58375	0.478	0.482166667	0.518583333	0.337166667	0.35125	0.3385	0.497166667	0.53375	0.531333333	0.202333333	0.241916667	0.2615
41400	5.57E-01	5.82E-01	5.85E-01	4.94E-01	5.01E-01	5.35E-01	3.58E-01	3.70E-01	3.51E-01	5.16E-01	5.50E-01	5.40E-01	2.09E-01	2.55E-01	2.67E-01
42300	5.60E-01	5.86E-01	5.86E-01	5.01E-01	5.15E-01	5.49E-01	3.69E-01	3.84E-01	3.65E-01	5.14E-01	5.62E-01	5.45E-01	2.17E-01	2.63E-01	2.72E-01
43200	0.559333333	0.590166667	0.586916667	0.502333333	0.5325	0.561333333	0.375583333	0.403166667	0.380666667	0.514583333	0.569583333	0.553083333	0.220416667	0.273333333	0.279083333
44100	0.562166667	0.597166667	0.589083333	0.517083333	0.54875	0.574916667	0.3925	0.42325	0.395	0.5275	0.587333333	0.552666667	0.234166667	0.28775	0.290333333
45000	0.561916667	0.593833333	0.593166667	0.52425	0.561083333	0.57725	0.407666667	0.43575	0.40625	0.534333333	0.586916667	0.55975	0.242416667	0.297666667	0.297083333
45900	0.558833333	0.594083333	0.589583333	0.524833333	0.5695	0.57825	0.4195	0.456416667	0.418333333	0.534	0.58375	0.56125	0.247	0.310833333	0.303333333
46800	0.562416667	0.597166667	0.588416667	0.535333333	0.579416667	0.58225	0.429333333	0.466083333	0.42975	0.538333333	0.5895	0.568416667	0.259583333	0.32425	0.30925
47700	5.59E-01	5.96E-01	5.82E-01	5.36E-01	5.79E-01	5.83E-01	4.46E-01	4.81E-01	4.38E-01	5.40E-01	5.86E-01	5.66E-01	2.65E-01	3.30E-01	3.16E-01
48600	0.55825	0.596833333	0.586083333	0.538416667	0.5795	0.588	0.456583333	0.498916667	0.450083333	0.543	0.589	0.571333333	0.27075	0.344833333	0.329083333
49500	5.60E-01	5.94E-01	5.84E-01	5.46E-01	5.80E-01	5.91E-01	4.70E-01	5.15E-01	4.61E-01	5.50E-01	5.88E-01	5.70E-01	2.80E-01	3.58E-01	3.37E-01
50400	0.555916667	0.590833333	0.576916667	0.54375	0.576833333	0.591083333	0.47825	0.525166667	0.471916667	0.545583333	0.5855	0.561333333	0.288416667	0.36775	0.342916667
51300	0.551416667	0.589166667	0.578583333	0.537583333	0.575833333	0.592833333	0.484416667	0.5365	0.485416667	0.540166667	0.5815	0.5615	0.295083333	0.37825	0.35075
52200	0.555916667	0.588083333	0.573666667	0.54175	0.573416667	0.59	0.500583333	0.553583333	0.49475	0.544666667	0.58175	0.56025	0.305916667	0.392583333	0.358916667
53100	0.551333333	0.579666667	0.569916667	0.532916667	0.568083333	0.58575	0.506166667	0.55875	0.505916667	0.540333333	0.575583333	0.555	0.312416667	0.39825	0.36725
54000	0.54625	0.580166667	0.567083333	0.527166667	0.564583333	0.58125	0.50825	0.570916667	0.515833333	0.53275	0.573666667	0.554416667	0.314916667	0.40675	0.37525
54900	0.54475	0.576916667	0.561166667	0.526916667	0.558333333	0.578166667	0.5155	0.575083333	0.526083333	0.53425	0.565833333	0.549083333	0.332333333	0.42125	0.382416667
55800	0.5398333	0.568	0.5543333	0.52175	0.5530833	0.5709167	0.5168333	0.5768333	0.53175	0.5291667	0.5606667	0.5429167	0.3378333	0.433	0.3876667
56700	0.536083333	0.563583333	0.555	0.511416667	0.546666667	0.56825	0.522083333	0.581166667	0.541583333	0.521833333	0.55425	0.539833333	0.34375	0.439	0.397083333
57600	0.532916667	0.55725	0.5485	0.509	0.541583333	0.56075	0.52725	0.577416667	0.544916667	0.522166667	0.549416667	0.532083333	0.353083333	0.452166667	0.400333333
58500	5.29E-01	5.48E-01	5.43E-01	4.98E-01	5.30E-01	5.53E-01	5.30E-01	5.77E-01	5.50E-01	5.13E-01	5.37E-01	5.20E-01	3.59E-01	4.54E-01	4.10E-01
59400	0.51825	0.538833333	0.538583333	0.48725	0.52075	0.5485	0.529083333	0.572666667	0.556	0.501333333	0.52825	0.51925	0.364333333	0.466583333	0.419583333
60300	0.51425	0.5305	0.529833333	0.481416667	0.510416667	0.5395	0.52725	0.56825	0.557916667	0.49875	0.518666667	0.508916667	0.369166667	0.478666667	0.425
61200	0.50525	0.514666667	0.5195	0.469	0.4925	0.52725	0.527	0.560916667	0.556416667	0.488	0.499166667	0.496916667	0.373833333	0.48375	0.432
62100	0.495083333	0.501083333	0.511083333	0.455833333	0.47725	0.51775	0.52175	0.555916667	0.55875	0.477416667	0.48475	0.4865	0.382833333	0.499583333	0.439
63000	0.488666667	0.485416667	0.499416667	0.446416667	0.4615	0.506833333	0.521083333	0.554583333	0.557916667	0.471	0.470333333	0.477583333	0.391833333	0.510833333	0.444083333
63900	0.47475	0.4665	0.486416667	0.43	0.438666667	0.49175	0.51525	0.548	0.55675	0.458083333	0.449	0.462083333	0.397333333	0.5135	0.449833333
64800	0.461833333	0.449166667	0.4765	0.41425	0.419583333	0.479416667	0.505583333	0.540666667	0.5575	0.4425	0.4305	0.45125	0.395916667	0.520333333	0.457333333
65700	0.453	0.432416667	0.4625	0.405166667	0.399166667	0.467333333	0.501	0.533833333	0.559583333	0.433833333	0.411	0.437166667	0.408916667	0.5325	0.461166667
66600	4.37E-01	4.10E-01	4.47E-01	3.87E-01	3.75E-01	4.51E-01	4.88E-01	5.21E-01	5.57E-01	4.18E-01	3.88E-01	4.20E-01	4.19E-01	5.37E-01	4.65E-01
67500	0.42175	0.393833333	0.435	0.369666667	0.3555	0.43675	0.473416667	0.508416667	0.5505	0.402416667	0.370833333	0.40725	0.4205	0.550166667	0.475833333
68400	0.4111667	0.3765	0.42	0.3569167	0.337	0.42225	0.4613333	0.4941667	0.5441667	0.3911667	0.3511667	0.3915	0.4360833	0.5578333	0.4779167
69300	3.96E-01	3.57E-01	4.05E-01	3.37E-01	3.14E-01	4.05E-01	4.43E-01	4.76E-01	5.36E-01	3.74E-01	3.31E-01	3.73E-01	4.37E-01	5.65E-01	4.86E-01
70200	0.379833333	0.34275	0.393333333	0.3195	0.296	0.393666667	0.42625	0.45725	0.5295	0.3575	0.311916667	0.361833333	0.440583333	0.56975	0.491583333
71101	0.36925	0.328	0.3815	0.305416667	0.279	0.379333333	0.41225	0.437833333	0.5195	0.343666667	0.296583333	0.34475	0.449416667	0.57775	0.49725
72000	3.54E-01	3.11E-01	3.67E-01	2.88E-01	2.60E-01	3.61E-01	3.94E-01	4.15E-01	5.04E-01	3.27E-01	2.78E-01	3.29E-01	4.47E-01	5.76E-01	5.04E-01
72900	0.341833333	0.29825	0.3575	0.271916667	0.244416667	0.350583333	0.375916667	0.394333333	0.493333333	0.3105	0.263416667	0.318333333	0.448083333	0.577166667	0.511
73800	0.334583333	0.287916667	0.345333333	0.261583333	0.231083333	0.336416667	0.360916667	0.373	0.478083333	0.300666667	0.249833333	0.303	0.454	0.579583333	0.514
74700	0.32425	0.274416667	0.334833333	0.24675	0.215333333	0.3225	0.34375	0.3515	0.46025	0.285333333	0.233833333	0.2895	0.4515	0.580166667	0.518166667
75600	0.31275	0.2665	0.3285	0.232	0.204666667	0.31375	0.326416667	0.3335	0.44725	0.272166667	0.223083333	0.27925	0.45475	0.57925	0.5295
76500	3.08E-01	2.59E-01	3.19E-01	2.24E-01	1.95E-01	3.01E-01	3.14E-01	3.19E-01	4.31E-01	2.64E-01	2.13E-01	2.69E-01	4.57E-01	5.72E-01	5.29E-01
77400	3.00E-01	2.49E-01	3.11E-01	2.12E-01	1.82E-01	2.89E-01	2.98E-01	3.01E-01	4.14E-01	2.50E-01	2.01E-01	2.58E-01	4.55E-01	5.64E-01	5.36E-01
78300	0.290833333	0.242666667	0.305583333	0.200416667	0.174583333	0.281583333	0.280583333	0.2885	0.400416667	0.238333333	0.194166667	0.251666667	0.458583333	0.557333333	0.5425
79200	2.88E-01	2.38E-01	3.00E-01	1.96E-01	1.67E-01	2.73E-01	2.70E-01	2.77E-01	3.84E-01	2.32E-01	1.88E-01	2.43E-01	4.61E-01	5.49E-01	5.44E-01
80100	2.81E-01	2.29E-01	2.92E-01	1.86E-01	1.58E-01	2.62E-01	2.56E-01	2.64E-01	3.68E-01	2.22E-01	1.77E-01	2.34E-01	4.57E-01	5.37E-01	5.41E-01
81000	0.27525	0.225333333	0.290333333	0.177833333	0.153083333	0.257916667	0.242583333	0.256083333	0.356333333	0.21375	0.173583333	0.230583333	0.4535	0.527666667	0.5435
81900	2.74E-01	2.23E-01	2.86E-01	1.75E-01	1.49E-01	2.52E-01	2.38E-01	2.47E-01	3.44E-01	2.11E-01	1.70E-01	2.25E-01	4.51E-01	5.15E-01	5.41E-01
82800	0.268083333	0.217333333	0.280916667	0.166916667	0.142166667	0.242833333	0.22525	0.238333333	0.327666667	0.202916667	0.16325	0.217583333	0.446416667	0.502333333	0.541333333
83700	0.26325	0.215166667	0.28075	0.16125	0.139333333	0.24075	0.216083333	0.23125	0.32	0.196333333	0.159583333	0.21625	0.442666667	0.488333333	0.541
84600	2.62E-01	2.10E-01	2.78E-01	1.60E-01	1.37E-01	2.37E-01	2.11E-01	2.25E-01	3.09E-01	1.95E-01	1.57E-01	2.12E-01	4.39E-01	4.73E-01	5.39E-01
85500	0.256583333	0.206416667	0.27175	0.154333333	0.131833333	0.229333333	0.20275	0.217	0.296166667	0.188083333	0.152333333	0.207166667	0.431416667	0.45625	0.534916667
