time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
9000	0.100083333	0.035	0.0385	0.08825	0.037	0.02025	0.02725	0.093	0.0265	0.029416667	0.084166667	0.034083333	0.01475	0.021083333	0.068583333	0.002666667	0.020333333	0.064083333	-0.00475	-0.003083333	-0.006	0.052583333	-0.00775	-0.012416667	0.0525	-0.003	-0.024166667	-0.012916667	0.065333333	0.005833333	0.00575	0.067583333	0.008166667	-0.0085	-0.0035	0.07075	0.004583333	0.007833333	0.069833333	0.00875	-0.0065	-0.002583333	0.061666667	-0.002083333	0.006583333	0.064583333	0.004333333	-0.002	-0.00475
9900	0.107666667	0.045333333	0.032416667	0.017916667	0.101833333	0.03675	0.044416667	0.100166667	0.036	0.026	0.013583333	0.0985	0.031583333	0.0375	0.069416667	0.004083333	0.001083333	-0.009666667	0.05325	0.007916667	0.003166667	0.055416667	-0.004333333	-0.026416667	-0.019666667	0.056666667	-0.010083333	-0.0015	0.067083333	0.008333333	-0.009083333	-0.005166667	0.06725	0.00475	0.007416667	0.0745	0.00925	-0.00525	-0.002416667	0.068833333	0.007833333	0.00975	0.06575	0.003166667	-0.005333333	-0.007166667	0.064833333	0.012583333	0.008166667
10800	0.026916667	0.118416667	0.060916667	0.031666667	0.110083333	0.043083333	0.04025	0.018916667	0.1085	0.053666667	0.026666667	0.106666667	0.038166667	0.031	-0.01875	0.066916667	0.012333333	-0.000583333	0.053083333	0.00825	-0.012166667	-0.030666667	0.060416667	-0.008666667	-0.00875	0.05925	-0.006416667	-0.013416667	-0.020333333	0.072166667	0.00775	0.005083333	0.068666667	0.007666667	-0.005416667	-0.010916667	0.075416667	0.01375	0.008416667	0.071083333	0.011916667	-0.001166667	-0.0185	0.07075	0.016	0.004416667	0.068333333	0.017166667	-0.002833333
11700	0.055666667	0.135666667	0.085333333	0.021916667	0.049416667	0.1065	0.06575	0.0465	0.1245	0.072333333	0.016333333	0.0435	0.1015	0.05325	0.001333333	0.069083333	0.012583333	-0.01525	-0.017416667	0.064416667	0.0005	-0.008583333	0.0655	-0.003	-0.021333333	-0.00975	0.053416667	0.002583333	-0.00025	0.07575	0.012333333	-0.008666667	-0.001583333	0.066583333	0.009	0.012166667	0.082083333	0.02075	-0.0045	0.002416667	0.072416667	0.01575	0.005333333	0.077416667	0.025916667	-0.008083333	0.000333333	0.078416667	0.013416667
12600	0.045833333	0.075583333	0.16275	0.039833333	0.071916667	0.113333333	0.08275	0.034833333	0.064	0.145833333	0.035	0.064	0.108833333	0.066583333	-0.02025	-0.00725	0.07	-0.001416667	-0.007166667	0.064583333	0.002833333	-0.026916667	-0.007	0.0605	-0.005583333	0.002666667	0.05675	0.008166667	-0.020916667	-0.000166667	0.074	0.00625	0.009333333	0.0685	0.012666667	-0.00525	0.010083333	0.08525	0.01125	0.015416667	0.07625	0.023833333	-0.010666667	0.00575	0.093583333	0.008583333	0.014416667	0.082666667	0.021333333
13500	0.085833333	0.105833333	0.18675	0.048583333	0.073666667	0.049916667	0.156833333	0.074416667	0.094333333	0.158	0.042833333	0.064083333	0.0475	0.135916667	0.00875	0.005333333	0.0715	0.00075	-0.018916667	-0.005583333	0.059666667	0.005083333	0.010333333	0.066666667	-0.000833333	-0.006333333	-0.01075	0.069333333	0.007916667	0.013666667	0.077916667	0.009916667	-0.002166667	-0.000333333	0.070916667	0.028083333	0.028583333	0.092583333	0.016083333	0.006166667	0.009833333	0.087666667	0.0255	0.02425	0.103666667	0.014083333	0.007833333	0.016083333	0.08325
14400	0.117666667	0.101	0.122416667	0.112916667	0.1065	0.068	0.174333333	0.107333333	0.098333333	0.097333333	0.107416667	0.0915	0.0665	0.153166667	0.026333333	-0.00825	-0.005583333	0.05975	-0.00425	0.005333333	0.062166667	0.028833333	0.001	-0.0045	0.060333333	0.011666667	0.003666667	0.077666667	0.028166667	0.001083333	0.0045	0.069833333	0.012166667	0.012333333	0.075083333	0.052916667	0.021333333	0.023	0.077666667	0.024083333	0.026083333	0.098333333	0.049833333	0.016916667	0.038416667	0.075416667	0.026166667	0.03025	0.091083333
15300	0.188083333	0.126666667	0.138833333	0.120166667	0.123166667	0.064	0.117	0.181916667	0.13	0.12025	0.116416667	0.111916667	0.063916667	0.102416667	0.085416667	0.014916667	0.00675	0.061666667	0.001916667	-0.004083333	-0.00575	0.097333333	0.03075	0.014416667	0.065416667	0.024416667	-0.003333333	0.018916667	0.087833333	0.023833333	0.0195	0.072416667	0.017583333	0.003083333	0.008333333	0.120583333	0.051916667	0.043583333	0.08275	0.03525	0.01925	0.039833333	0.116416667	0.046166667	0.063416667	0.07925	0.03975	0.021416667	0.028333333
16200	0.196333333	0.135416667	0.132416667	0.05425	0.192583333	0.086416667	0.12875	0.198916667	0.15075	0.120666667	0.051916667	0.1895	0.0885	0.127583333	0.096083333	0.026166667	-0.00675	-0.009916667	0.067916667	0.01325	0.009583333	0.122916667	0.049833333	0.011583333	-0.002916667	0.095583333	0.018916667	0.044916667	0.099416667	0.033083333	0.0085	0.001833333	0.079916667	0.021166667	0.02275	0.137583333	0.069833333	0.0395	0.0145	0.103083333	0.041833333	0.065083333	0.132916667	0.06275	0.055916667	0.009916667	0.106416667	0.041	0.047833333
17100	0.117916667	0.206833333	0.158583333	0.07125	0.193	0.099833333	0.118833333	0.1325	0.223916667	0.15075	0.071333333	0.21075	0.101	0.133	0.021583333	0.10175	0.014833333	0.004333333	0.07775	0.022416667	0.004083333	0.058166667	0.135833333	0.036416667	0.0145	0.110333333	0.032333333	0.048333333	0.022666667	0.106333333	0.03075	0.013916667	0.085	0.0295	0.015333333	0.071416667	0.15175	0.067583333	0.0295	0.11725	0.054416667	0.069583333	0.064916667	0.14375	0.079083333	0.024166667	0.116	0.04825	0.048
18000	0.137416667	0.21275	0.1775	0.066833333	0.128083333	0.168833333	0.13525	0.161416667	0.231	0.166083333	0.069166667	0.140083333	0.171416667	0.152583333	0.06	0.124416667	0.023083333	-0.0035	0.015083333	0.091666667	0.03075	0.095416667	0.167	0.049916667	0.010166667	0.058416667	0.10425	0.081	0.05325	0.121916667	0.042833333	0.002583333	0.019083333	0.095	0.039916667	0.103833333	0.171083333	0.082833333	0.021083333	0.061833333	0.126916667	0.10175	0.097833333	0.16325	0.091083333	0.016166667	0.056666667	0.112333333	0.079666667
18900	0.11925	0.14666667	0.25525	0.08783333	0.14491667	0.17858333	0.145	0.1465	0.17033333	0.24791667	0.09308333	0.15633333	0.18491667	0.16658333	0.06183333	0.06575	0.08675	0.01991667	0.03691667	0.10225	0.05516667	0.07966667	0.10691667	0.11825	0.03525	0.09466667	0.12541667	0.10266667	0.03975	0.05425	0.10791667	0.0175	0.03775	0.10175	0.04958333	0.09591667	0.10791667	0.14941667	0.04025	0.08675	0.1435	0.1185	0.092	0.10533333	0.16141667	0.03558333	0.07975	0.12158333	0.09283333
19800	0.14525	0.171	0.27983333	0.09608333	0.13883333	0.11508333	0.21575	0.1815	0.19291667	0.2695	0.10583333	0.14308333	0.123	0.23	0.10566667	0.08975	0.093	0.03166667	0.03775	0.0435	0.13358333	0.11325	0.14025	0.12958333	0.05291667	0.09825	0.07525	0.16333333	0.0745	0.07383333	0.11466667	0.02425	0.03125	0.03808333	0.11608333	0.13975	0.13241667	0.16058333	0.05375	0.08766667	0.08566667	0.19391667	0.1335	0.13591667	0.17833333	0.04441667	0.08	0.05916667	0.1625
20700	0.16733333	0.16883333	0.23216667	0.16233333	0.16366667	0.13275	0.232	0.20275	0.19075	0.21508333	0.17383333	0.17008333	0.14091667	0.23816667	0.127	0.08633333	0.02616667	0.09875	0.06666667	0.06866667	0.152	0.13016667	0.13808333	0.06233333	0.12841667	0.11833333	0.09775	0.17416667	0.09525	0.0735	0.047	0.08383333	0.05108333	0.05525	0.13	0.15866667	0.12908333	0.09491667	0.12208333	0.11366667	0.1105	0.2135	0.16208333	0.136	0.12158333	0.10958333	0.10566667	0.07975	0.17958333
21600	0.23658333	0.2135	0.27225	0.17075	0.18525	0.12316667	0.18	0.26808333	0.23308333	0.25075	0.18708333	0.18791667	0.13575	0.18283333	0.18833333	0.11725	0.05208333	0.111	0.07791667	0.06516667	0.09408333	0.19583333	0.16383333	0.08475	0.14783333	0.12083333	0.09475	0.11558333	0.1585	0.09816667	0.06875	0.08733333	0.0625	0.04758333	0.06308333	0.22575	0.16308333	0.12316667	0.13058333	0.12875	0.10658333	0.14883333	0.229	0.174	0.153	0.11666667	0.11641667	0.07541667	0.12191667
22500	0.25925	0.23833333	0.28383333	0.105	0.26333333	0.1475	0.2095	0.28658333	0.26216667	0.26233333	0.12266667	0.26383333	0.15741667	0.20666667	0.19466667	0.13025	0.05466667	0.04833333	0.147	0.091	0.11358333	0.21266667	0.18033333	0.0905	0.08733333	0.183	0.10991667	0.13783333	0.17066667	0.10541667	0.06391667	0.01716667	0.13191667	0.06733333	0.08408333	0.24566667	0.17875	0.12783333	0.06725	0.19416667	0.12808333	0.17033333	0.24708333	0.19358333	0.1585	0.05275	0.18666667	0.09858333	0.14908333
23400	0.19216667	0.31883333	0.32858333	0.12325	0.28291667	0.16216667	0.21891667	0.21808333	0.34508333	0.30533333	0.14225	0.28125	0.16183333	0.20791667	0.11641667	0.20791667	0.09208333	0.06933333	0.16433333	0.10091667	0.11166667	0.15225	0.25908333	0.13533333	0.1035	0.19891667	0.118	0.13608333	0.0945	0.1775	0.0975	0.03025	0.13875	0.07516667	0.08116667	0.18175	0.267	0.17033333	0.08608333	0.205	0.13825	0.17433333	0.181	0.27983333	0.20175	0.07191667	0.20166667	0.1105	0.1535
24300	0.229	0.352	0.36033333	0.11508333	0.23091667	0.22275	0.25266667	0.25908333	0.36966667	0.331	0.134	0.23558333	0.22841667	0.24683333	0.15033333	0.23016667	0.12066667	0.05925	0.10483333	0.17416667	0.13425	0.20108333	0.28675	0.16058333	0.08625	0.14583333	0.18075	0.16983333	0.11966667	0.19216667	0.11083333	0.02183333	0.07675	0.14058333	0.09816667	0.21825	0.29708333	0.20158333	0.08033333	0.14616667	0.2085	0.199	0.21341667	0.29883333	0.22883333	0.0675	0.14766667	0.18016667	0.18258333
25200	0.23216667	0.29733333	0.44816667	0.13716667	0.26116667	0.23825	0.28066667	0.2595	0.31541667	0.41058333	0.15116667	0.26891667	0.23641667	0.27116667	0.15466667	0.17891667	0.20941667	0.07491667	0.12516667	0.192	0.15433333	0.2075	0.23733333	0.25358333	0.09758333	0.17891667	0.1905	0.19866667	0.1135	0.1325	0.18458333	0.03841667	0.09891667	0.149	0.10433333	0.2205	0.25316667	0.29225	0.10416667	0.17241667	0.22266667	0.22616667	0.21633333	0.24441667	0.31291667	0.09183333	0.17316667	0.19291667	0.20041667
26100	0.2756667	0.33275	0.4693333	0.14975	0.2693333	0.17675	0.356	0.3078333	0.3500833	0.4358333	0.1578333	0.2818333	0.1779167	0.3495833	0.2033333	0.2226667	0.2415833	0.07525	0.1313333	0.1379167	0.23275	0.266	0.2808333	0.28775	0.103	0.1923333	0.1295833	0.2831667	0.15025	0.1649167	0.2015833	0.04525	0.096	0.08575	0.1766667	0.2726667	0.2905	0.3286667	0.1099167	0.1815	0.1696667	0.3078333	0.2540833	0.2776667	0.3411667	0.1000833	0.1829167	0.1329167	0.2760833
27000	0.31566667	0.34033333	0.41625	0.21808333	0.30458333	0.19575	0.3825	0.34158333	0.35258333	0.38575	0.21791667	0.32125	0.1995	0.37083333	0.24675	0.24125	0.19866667	0.14291667	0.16708333	0.16616667	0.26341667	0.31516667	0.30066667	0.244	0.17	0.23516667	0.155	0.32116667	0.177	0.15983333	0.14258333	0.10725	0.13058333	0.09958333	0.18991667	0.30825	0.30608333	0.28916667	0.17666667	0.21816667	0.19841667	0.34233333	0.28941667	0.28133333	0.29458333	0.16758333	0.21758333	0.15258333	0.29508333
27900	0.39216667	0.37108333	0.45175	0.23066667	0.33375	0.19208333	0.33	0.41825	0.39483333	0.41816667	0.22883333	0.34375	0.20075	0.32383333	0.34141667	0.29825	0.24941667	0.157	0.20241667	0.17316667	0.2275	0.409	0.358	0.29408333	0.186	0.26908333	0.163	0.28458333	0.25108333	0.19433333	0.17041667	0.11325	0.14566667	0.09891667	0.13608333	0.39283333	0.355	0.33275	0.184	0.24658333	0.20325	0.3045	0.36633333	0.31916667	0.33075	0.17625	0.24325	0.1495	0.24825
28800	0.4216667	0.3949167	0.4544167	0.1670833	0.4184167	0.2165833	0.364	0.444	0.4166667	0.4199167	0.1681667	0.4241667	0.2325	0.353	0.3808333	0.3375	0.2729167	0.1015	0.2953333	0.2078333	0.2751667	0.4465833	0.3908333	0.3149167	0.1299167	0.3609167	0.2011667	0.3303333	0.27175	0.2166667	0.1875833	0.04725	0.224	0.1245833	0.165	0.4240833	0.3853333	0.3541667	0.12125	0.3360833	0.2401667	0.3466667	0.384	0.3425	0.3376667	0.1093333	0.3241667	0.1728333	0.2748333
29700	0.36325	0.47933333	0.48583333	0.18966667	0.44075	0.23508333	0.37841667	0.38183333	0.4995	0.45525	0.19	0.45133333	0.24925	0.36225	0.33941667	0.43983333	0.32883333	0.13083333	0.33383333	0.23408333	0.30275	0.396	0.48633333	0.36975	0.1625	0.39866667	0.23225	0.35041667	0.20708333	0.29825	0.23166667	0.06341667	0.23958333	0.13683333	0.17541667	0.36675	0.47208333	0.40233333	0.1385	0.36083333	0.26625	0.357	0.32058333	0.42316667	0.3805	0.13058333	0.34466667	0.18583333	0.2855
30600	0.39791667	0.50491667	0.5115	0.18841667	0.38558333	0.30816667	0.40775	0.41758333	0.51733333	0.47425	0.18825	0.3995	0.32166667	0.39425	0.38858333	0.483	0.36991667	0.13633333	0.30141667	0.32158333	0.353	0.445	0.5215	0.40933333	0.1695	0.364	0.31883333	0.39875	0.24066667	0.32808333	0.25341667	0.05641667	0.18725	0.20491667	0.20625	0.40441667	0.49391667	0.43666667	0.13875	0.32008333	0.34775	0.402	0.35066667	0.44666667	0.40833333	0.1285	0.29658333	0.25583333	0.31658333
31500	0.4	0.45175	0.5845	0.21616667	0.42325	0.32416667	0.431	0.41666667	0.46116667	0.55108333	0.21825	0.4285	0.34658333	0.41141667	0.40683333	0.43866667	0.46641667	0.17158333	0.35016667	0.3575	0.394	0.45383333	0.47458333	0.5015	0.20675	0.41041667	0.35116667	0.43058333	0.24008333	0.26691667	0.33191667	0.07766667	0.218	0.22008333	0.23325	0.41041667	0.44408333	0.521	0.16125	0.35633333	0.37233333	0.43225	0.34625	0.38441667	0.48433333	0.15016667	0.32375	0.26683333	0.33641667
32400	0.44441667	0.48	0.59	0.23091667	0.42883333	0.26483333	0.51475	0.46241667	0.4905	0.56225	0.23958333	0.43041667	0.29008333	0.48733333	0.46441667	0.48308333	0.505	0.19675	0.37233333	0.321	0.49033333	0.50441667	0.50608333	0.53141667	0.23566667	0.422	0.31	0.51408333	0.2825	0.29916667	0.35958333	0.08933333	0.22316667	0.16341667	0.31216667	0.456	0.47825	0.55041667	0.18608333	0.37066667	0.32358333	0.512	0.38608333	0.41466667	0.50933333	0.16416667	0.33291667	0.21083333	0.41283333
